canonical_result_field,referenced_field,referenced_in_file,status,classification,patch_applied,notes
feature_mode_state.feature_complete,feature_mode_state.feature_complete,05_art/scene_maps/free_spins_outro.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.mode_key,feature_mode_state.mode_key,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.mode_key,feature_mode_state.mode_key,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.mode_key,feature_mode_state.mode_key,05_art/scene_maps/feature_mode_selection.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.mode_key,feature_mode_state.mode_key,05_art/scene_maps/free_spins_intro.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.mode_key,feature_mode_state.mode_key,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.mode_key,feature_mode_state.mode_key,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.spins_or_rounds_remaining,feature_mode_state.spins_or_rounds_remaining,05_art/scene_maps/feature_mode_selection.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.spins_or_rounds_remaining,feature_mode_state.spins_or_rounds_remaining,05_art/scene_maps/free_spins_intro.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.spins_or_rounds_remaining,feature_mode_state.spins_or_rounds_remaining,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap,max_win_cap,05_art/scene_maps/free_spins_active.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_applies_to_bonus_buy,max_win_cap.cap_applies_to_bonus_buy,05_art/scene_maps/max_win_cap_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_applies_to_feature_modes,max_win_cap.cap_applies_to_feature_modes,05_art/scene_maps/max_win_cap_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_reached,max_win_cap.cap_reached,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_reached,max_win_cap.cap_reached,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_reached,max_win_cap.cap_reached,05_art/scene_maps/big_win_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_reached,max_win_cap.cap_reached,05_art/scene_maps/max_win_cap_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_reached,max_win_cap.cap_reached,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_reached,max_win_cap.cap_reached,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_reached_at_step,max_win_cap.cap_reached_at_step,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_reached_at_step,max_win_cap.cap_reached_at_step,05_art/scene_maps/max_win_cap_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.cap_reached_at_step,max_win_cap.cap_reached_at_step,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.capped_win,max_win_cap.capped_win,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.capped_win,max_win_cap.capped_win,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.capped_win,max_win_cap.capped_win,05_art/scene_maps/max_win_cap_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.capped_win,max_win_cap.capped_win,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.capped_win,max_win_cap.capped_win,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.max_win_cap_x_bet,max_win_cap.max_win_cap_x_bet,05_art/scene_maps/max_win_cap_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.pre_cap_win,max_win_cap.pre_cap_win,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.pre_cap_win,max_win_cap.pre_cap_win,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.pre_cap_win,max_win_cap.pre_cap_win,05_art/scene_maps/max_win_cap_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.pre_cap_win,max_win_cap.pre_cap_win,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
max_win_cap.pre_cap_win,max_win_cap.pre_cap_win,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
registration_metadata_boundary,registration_metadata_boundary,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
registration_metadata_boundary,registration_metadata_boundary,05_art/scene_maps/round_completion_state.json,matched_after_patch,matched,false,Canonical field present after audit patch.
registration_metadata_boundary,registration_metadata_boundary,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion,round_completion,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion,round_completion,05_art/scene_maps/free_spins_outro.json,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion,round_completion,05_art/scene_maps/reconnect_modal.json,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion,round_completion,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion.current_gs_equivalent_status,round_completion.current_gs_equivalent_status,05_art/scene_maps/error_modal.json,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion.final_state_ready,round_completion.final_state_ready,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion.final_state_ready,round_completion.final_state_ready,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion.final_state_ready,round_completion.final_state_ready,05_art/scene_maps/round_completion_state.json,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion.final_state_ready,round_completion.final_state_ready,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion.no_pending_cascade,round_completion.no_pending_cascade,05_art/scene_maps/round_completion_state.json,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion.no_pending_feature_transition,round_completion.no_pending_feature_transition,05_art/scene_maps/round_completion_state.json,matched_after_patch,matched,false,Canonical field present after audit patch.
round_completion.no_pending_reveal,round_completion.no_pending_reveal,05_art/scene_maps/round_completion_state.json,matched_after_patch,matched,false,Canonical field present after audit patch.
rtpVariant,rtpVariant,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
rtpVariant,rtpVariant,05_art/scene_maps/help_rules_paytable_modal.json,matched_after_patch,matched,false,Canonical field present after audit patch.
,runtime_result_owner,05_art/v0_3_object_state_requirements.csv,documented_helper,acceptable_renderer_helper,false,"Renderer/developer helper, documented as non-authoritative."
state_persistence,state_persistence,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence,state_persistence,05_art/scene_maps/reconnect_modal.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence,state_persistence,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.cap_state,state_persistence.cap_state,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.clientOperationId,state_persistence.clientOperationId,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.current_grid,state_persistence.current_grid,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.feature_mode,state_persistence.feature_mode,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.golden_square_state,state_persistence.golden_square_state,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.lastAction_or_current_gs_equivalent,state_persistence.lastAction_or_current_gs_equivalent,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.lastAction_or_current_gs_equivalent,state_persistence.lastAction_or_current_gs_equivalent,05_art/scene_maps/reconnect_modal.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.lastAction_or_current_gs_equivalent,state_persistence.lastAction_or_current_gs_equivalent,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.lastAction_or_current_gs_equivalent,state_persistence.lastAction_or_current_gs_equivalent,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.pending_cascades,state_persistence.pending_cascades,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.recovery_state,state_persistence.recovery_state,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.recovery_state,state_persistence.recovery_state,05_art/scene_maps/error_modal.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.recovery_state,state_persistence.recovery_state,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.roundId,state_persistence.roundId,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.spinId,state_persistence.spinId,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
state_persistence.stateVersion,state_persistence.stateVersion,05_art/scene_maps/state_recovery_reconnect_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
totalWin,totalWin,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
totalWin,totalWin,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
totalWin,totalWin,05_art/scene_maps/big_win_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
totalWin,totalWin,05_art/scene_maps/free_spins_outro.json,matched_after_patch,matched,false,Canonical field present after audit patch.
wallet_accounting_boundary,wallet_accounting_boundary,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
wallet_accounting_boundary,wallet_accounting_boundary,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
wallet_accounting_boundary,wallet_accounting_boundary,05_art/scene_maps/error_modal.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winRatio,winRatio,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
winRatio,winRatio,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winRatio,winRatio,05_art/scene_maps/big_win_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winRatio,winRatio,05_art/scene_maps/free_spins_outro.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winRatio,winRatio,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winTier,winTier,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
winTier,winTier,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winTier,winTier,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winTier,winTier,05_art/scene_maps/big_win_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winTier,winTier,05_art/scene_maps/desktop_layout.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winTier,winTier,05_art/scene_maps/free_spins_outro.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winTier,winTier,05_art/scene_maps/mobile_layout.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winTier,winTier,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
winTier,winTier,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
win_tier_source,win_tier_source,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
